ORIGIN,CITY,STATE
MOT,Minot,ND
MSO,Missoula,MT
CNY,Moab,UT
MOB,Mobile,AL
MLI,Moline,IL
MLU,Monroe,LA
MGM,Montgomery,AL
MTJ,Montrose,CO
MKG,Muskegon,MI
MYR,Myrtle Beach,SC
BNA,Nashville,TN
HVN,New Haven,CT
MSY,New Orleans,LA
JFK,New York - Kennedy,NY
LGA,New York - La Guardia,NY
EWR,Newark,NJ
SWF,Newburgh/Stewart Field,NY
OME,Nome,AK
ORF,Norfolk,VA
OTH,North Bend,OR
LBF,North Platte,NE
OAK,Oakland,CA
OGS,Ogdensburg,NY
OKC,Oklahoma City,OK
OMA,Omaha,NE
ONT,Ontario,CA
SNA,Orange County/Santa Ana,CA
MCO,Orlando,FL
OWB,Owensboro,KY
PAH,Paducah,KY
PSP,Palm Springs,CA
PSC,Pasco,WA
PLN,Pellston,MI
PNS,Pensacola,FL
PIA,Peoria,IL
PSG,Petersburg,AK
PHL,Philadelphia,PA
TTN,Trenton/Mercer,NJ
PHX,Phoenix,AZ
PIR,Pierre,SD
PIT,Pittsburgh,PA
PIH,Pocatello,ID
PSE,Ponce,Puerto Rico
PWM,Portland,ME
PDX,Portland,OR
PSM,Portsmouth,NH
PRC,Prescott,AZ
PVD,Providence,RI
SCC,Prudhoe Bay/Deadhorse,AK
PUB,Pueblo,CO
UIN,Quincy,IL
RAP,Rapid City,SD
RDD,Redding,CA
RDM,Redmond,OR
RNO,Reno,NV
RHI,Rhinelander,WI
RIC,Richmond,VA
RIW,Riverton,WY
ROA,Roanoke,VA
RST,Rochester,MN
ROC,Rochester,NY
RKS,Rock Springs,WY
ROW,Roswell,NM
SMF,Sacramento,CA
STC,Saint Cloud,MN
SGU,Saint George,UT
STL,Saint Louis,MO
SLN,Salina,KS
SLC,Salt Lake City,UT
SJT,San Angelo,TX
SAT,San Antonio,TX
SAN,San Diego,CA
SFO,San Francisco,CA
SJC,San Jose,CA
SJU,San Juan,Puerto Rico
SBP,San Luis Obispo,CA
SBA,Santa Barbara,CA
SAF,Santa Fe,NM
SMX,Santa Maria,CA
STS,Santa Rosa,CA
SRQ,Sarasota,FL
CIU,Sault Ste Marie,MI
SAV,Savannah,GA
BFF,Scottsbluff,NE
AVP,Scranton/Wilkes Barre,PA
SEA,Seattle/Tacoma,WA
SHR,Sheridan,WY
SHV,Shreveport,LA
SUX,Sioux City,IA
FSD,Sioux Falls,SD
SIT,Sitka,AK
SBN,South Bend,IN
GEG,Spokane,WA
SPI,Springfield,IL
SGF,Springfield,MO
SCE,State College/University Park,PA
SHD,Staunton,VA
CWA,Stevens Point/Wausau,WI
SCK,Stockton,CA
SYR,Syracuse,NY
TLH,Tallahassee,FL
TPA,Tampa,FL
TXK,Texarkana,AR
TOL,Toledo,OH
TVC,Traverse City,MI
TUS,Tucson,AZ
TUL,Tulsa,OK
TWF,Twin Falls,ID
TYR,Tyler,TX
EGE,Vail,CO
VLD,Valdosta,GA
VEL,Vernal,UT
ACT,Waco,TX
IAD,Washington - Dulles,DC
DCA,Washington - Reagan National,DC
ALO,Waterloo,IA
ART,Watertown,NY
ATY,Watertown,SD
PBI,West Palm Beach,FL
HPN,Westchester County,NY
SPS,Wichita Falls,TX
ICT,Wichita,KS
ISN,Williston,ND
ILM,Wilmington,NC
ORH,Worcester,MA
WRG,Wrangell,AK
YAK,Yakutat,AK
YUM,Yuma,AZ
OGS,Ogdensburg,NY
IAG,Niagara Falls,NY
BQN,Aguadilla,Puerto Rico
DRT,Del Rio,TX
SPN,Saipan,Northern Mariana Islands
GUM,Guam,Guam
XWA,Watford,ON
RFD,Rockford,IL
PAE,Everett,WA
